"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-496";"municipal";"Feira Nova";"SE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FEIRA NOVA - SE";"CME-FEIRA-NOVA-SE";"feiranova-se";"PRESIDENTE: GILDEVAN FERREIRA DE MELO"
"uncme-497";"municipal";"Feliz";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FELIZ - RS";"CME-FELIZ-RS";"feliz-rs";"PRESIDENTE: MARIA CRISTINA FRANZEN"
"uncme-498";"municipal";"Feliz Deserto";"AL";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FELIZ DESERTO - AL";"CME-FELIZ-DESERTO-AL";"felizdeserto-al";"PRESIDENTE: MARCELO DOS SANTOS ANDRADE"
"uncme-499";"municipal";"Feliz Natal";"MT";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FELIZ NATAL - MT";"CME-FELIZ-NATAL-MT";"feliznatal-mt";"PRESIDENTE: ENISANDRA APARECIDA GARCIA OLIVEIRA"
"uncme-500";"municipal";"Firmino Alves";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FIRMINO ALVES - BA";"CME-FIRMINO-ALVES-BA";"firminoalves-ba";"PRESIDENTE: MARIA DO CARMO PINTO MACÊDO AMARAL"
"uncme-501";"municipal";"Flexeiras";"AL";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLEXEIRAS - AL";"CME-FLEXEIRAS-AL";"flexeiras-al";"PRESIDENTE: MARIA JOSÉ DA SILVA COSTA"
"uncme-502";"municipal";"Flores da Cunha";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLORES DA CUNHA - RS";"CME-FLORES-DA-CUNHA-RS";"floresdacunha-rs";"PRESIDENTE: MARIA ELIZABETE DALMINA CURRA"
"uncme-503";"municipal";"Floresta Azul";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLORESTA AZUL - BA";"CME-FLORESTA-AZUL-BA";"florestaazul-ba";"PRESIDENTE: ROSIMARI DOS SANTOS"
"uncme-504";"municipal";"Floriano";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLORIANO - PI";"CME-FLORIANO-PI";"floriano-pi";"PRESIDENTE: JANDOVANIA GUIMARÃES PEREIRA"
"uncme-505";"municipal";"Floriano Peixoto";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLORIANO PEIXOTO - RS";"CME-FLORIANO-PEIXOTO-RS";"florianopeixoto-rs";"PRESIDENTE: DANIEZE VANESA LANGOSKI MAZURECK"
"uncme-506";"municipal";"Florianópolis";"SC";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FLORIANÓPOLIS - SC";"CME-FLORIANÓPOLIS-SC";"florianopolis-sc";"PRESIDENTE: MARIA DE JESUS LUCENA BARROS CONTE"
"uncme-507";"municipal";"Fonte Boa";"AM";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FONTE BOA - AM";"CME-FONTE-BOA-AM";"fonteboa-am";"PRESIDENTE: SANDOVAL FERNANDES COELHO"
"uncme-508";"municipal";"Fontoura Xavier";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FONTOURA XAVIER - RS";"CME-FONTOURA-XAVIER-RS";"fontouraxavier-rs";"PRESIDENTE: CAMILA CARNIEL PIFFER"
"uncme-509";"municipal";"Formigueiro";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FORMIGUEIRO - RS";"CME-FORMIGUEIRO-RS";"formigueiro-rs";"PRESIDENTE: KELI PENTEADO FELTRIN"
"uncme-510";"municipal";"Formosa da Serra Negra";"MA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FORMOSA DA SERRA NEGRA - MA";"CME-FORMOSA-DA-SERRA-NEGRA-MA";"formosadaserranegra-ma";"PRESIDENTE: MARIA DAS GRAÇAS DA SILVA SANTOS"
"uncme-511";"municipal";"Formosa do Rio Preto";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FORMOSA DO RIO PRETO - BA";"CME-FORMOSA-DO-RIO-PRETO-BA";"formosadoriopreto-ba";"PRESIDENTE: KELCY MARCIEL SERQUEIRA DE SOUZA"
